abv,rep
BCH,BEACH
BRK,BROOK
CP,CAMP
CMP,CAMP
CANYN,CANYON
CNYN,CANYON
CPE,CAPE
CEN,CENTER
CENT,CENTER
CENTER,CENTER
CENTR,CENTER
CENTRE,CENTER
CNTER,CENTER
CNTR,CENTER
CTR,CENTER
CIR,CIRCLE
CIRC,CIRCLE
CIRCL,CIRCLE
CIRCLE,CIRCLE
CRCL,CIRCLE
CRCLE,CIRCLE
CLF,CLIFF
CLIFF,CLIFF
CLFS,CLIFFS
CLIFFS,CLIFFS
COURT,COURT
CT,COURT
COURTS,COURTS
CTS,COURTS
COVE,COVE
CV,COVE
COVES,COVES
CREEK,CREEK
CRK,CREEK
CRES,CRESCENT
CRSENT,CRESCENT
CRSNT,CRESCENT
EST,ESTATE
ESTS,ESTATES
FERRY,FERRY
FRRY,FERRY
FIELD,FIELD
FLD,FIELD
FIELDS,FIELDS
FLDS,FIELDS
FRST,FOREST
FORT,FORT
FRT,FORT
FT,FORT
GRDN,GARDEN
GDNS,GARDENS
HVN,HAVEN
HT,HEIGHTS
HTS,HEIGHTS
IS,ISLAND
ISLAND,ISLAND
ISLND,ISLAND
ISLANDS,ISLANDS
ISLNDS,ISLANDS
ISS,ISLANDS
LK,LAKE
LAKE,LAKE
LKS,LAKES
LAKES,LAKES
LDG,LODGE
LDGE,LODGE
LODG,LODGE
LODGE,LODGE
MDW,MEADOWS
MDWS,MEADOWS
MNT,MOUNT
MT,MOUNT
MOUNT,MOUNT
MNTAIN,MOUNTAIN
MNTN,MOUNTAIN
MOUNTAIN,MOUNTAIN
MOUNTIN,MOUNTAIN
MTIN,MOUNTAIN
MTN,MOUNTAIN
MNTNS,MOUNTAINS
MOUNTAINS,MOUNTAINS
PRK,PARK
PK,PARK
PT,PORT
PL,PLACE
RNCH,RANCH
RIV,RIVER
RVR,RIVER
RIVR,RIVER
SHR,SHORE
STATN,STATION
STN,STATION
ST,SAINT
TER,TERRACE
TWP,TOWNSHIP
VLLY,VALLEY
VLY,VALLEY
VLYS,VALLEYS
VLG,VILLAGE
AFB,AIR FORCE BASE
A F B,AIR FORCE BASE
