year,name,status,size,ncol,nrow,time
2001,All_PrimeTransactionsAndSubawards_2021-03-18_H15M23S21556518.zip,finished, 133.04M,579,1003147,2755.438975
2002,All_PrimeTransactionsAndSubawards_2021-03-18_H15M24S21894764.zip,finished, 174.01M,579,1194805,4207.053571
2003,All_PrimeTransactionsAndSubawards_2021-03-18_H15M25S27091881.zip,finished, 233.68M,579,1575123,6715.672995
2004,All_PrimeTransactionsAndSubawards_2021-03-18_H15M26S27254475.zip,finished, 382.69M,579,2369008,9287.034483
2005,All_PrimeTransactionsAndSubawards_2021-03-18_H15M27S29010191.zip,finished, 547.77M,579,3304707,12567.39752
2006,All_PrimeTransactionsAndSubawards_2021-03-18_H15M28S29944388.zip,finished, 651.02M,579,4229865,16928.077244
2007,All_PrimeTransactionsAndSubawards_2021-03-18_H15M29S36193679.zip,finished, 876.22M,579,5135698,9411.794461
2008,All_PrimeTransactionsAndSubawards_2021-03-18_H15M30S36688071.zip,finished, 946.12M,579,6114454,10720.689437000001
2009,All_PrimeTransactionsAndSubawards_2021-03-18_H15M33S24946299.zip,finished, 997.12M,579,6076322,4520.865428
2010,All_PrimeTransactionsAndSubawards_2021-03-18_H15M34S27900036.zip,finished,   1.15G,579,8137141,18387.116939
2011,All_PrimeTransactionsAndSubawards_2021-03-18_H15M44S19077371.zip,finished,   1.25G,579,8163041,18760.077791
2012,All_PrimeTransactionsAndSubawards_2021-03-18_H15M45S23451036.zip,finished,   1.04G,579,6892760,14604.083686
2013,All_PrimeTransactionsAndSubawards_2021-03-18_H15M46S26368633.zip,finished, 985.48M,579,6503547,13650.442799
2014,All_PrimeTransactionsAndSubawards_2021-03-18_H15M47S27676853.zip,finished,1017.14M,579,7009164,15936.28292
2015,All_PrimeTransactionsAndSubawards_2021-03-18_H15M48S27901767.zip,finished,   1.29G,579,8337675,19216.781124
2016,All_PrimeTransactionsAndSubawards_2021-03-18_H15M49S28342733.zip,finished,   1.25G,579,9203911,24495.220892
2017,All_PrimeTransactionsAndSubawards_2021-03-18_H15M50S28701089.zip,finished,   1.32G,579,9458789,26772.031778
2018,All_PrimeTransactionsAndSubawards_2021-03-18_H15M51S29493021.zip,finished,   1.78G,579,13584274,18853.588337
2019,All_PrimeTransactionsAndSubawards_2021-03-18_H15M52S31035934.zip,finished,   1.99G,579,14995259,26387.105688
2020,All_PrimeTransactionsAndSubawards_2021-03-18_H15M03S46981212.zip,finished,   3.45G,579,31170140,30413.337865
2021,All_PrimeTransactionsAndSubawards_2021-03-18_H15M54S36662623.zip,finished,   1.13G,579,11113902,9285.415795
