file_nm,file_type,check_dt,start_dt,end_dt,min_dt,max_dt,n_row,n_col,sum_amt,na_flags,zero_amt
All_Contracts_PrimeTransactions_2021-03-12_H16M29S16_1.csv,contract,2021-03-12T16:45:13Z,2021-01-01,2021-03-12,2021-01-01,2021-03-10,367181,285,48133424746.64,8,81989
All_Assistance_PrimeTransactions_2021-03-12_H16M32S02_1.csv,assist,2021-03-12T16:46:10Z,2021-01-01,2021-03-12,2021-02-10,2021-03-10,1000000,97,40295086080.49,863765,34061
All_Assistance_PrimeTransactions_2021-03-12_H16M32S02_2.csv,assist,2021-03-12T16:47:17Z,2021-01-01,2021-03-12,2021-01-28,2021-02-12,1000000,97,211158709679.51,834671,33601
All_Assistance_PrimeTransactions_2021-03-12_H16M32S02_3.csv,assist,2021-03-12T16:48:17Z,2021-01-01,2021-03-12,2021-01-01,2021-01-29,982939,97,352697767944.41,675467,170919
All_Contracts_Subawards_2021-03-12_H16M43S04_1.csv,contract-sub,2021-03-12T16:49:03Z,2021-01-01,2021-03-12,2021-01-01,2021-03-11,10801,106,31458648444.02,2,151
All_Assistance_Subawards_2021-03-12_H16M43S26_1.csv,assist-sub,2021-03-12T16:49:06Z,2021-01-01,2021-03-12,2021-01-01,2021-03-12,24457,101,7279290653.48,6,579
All_Contracts_PrimeTransactions_2021-03-15_H16M17S57_1.csv,contract,2021-03-15T16:23:56Z,2021-03-07,2021-03-14,2021-03-07,2021-03-13,29166,285,2864978019.75,0,6844
All_Contracts_PrimeTransactions_2021-03-15_H16M17S57_1.csv,contract,2021-03-15T16:24:12Z,2021-03-07,2021-03-14,2021-03-07,2021-03-13,29166,285,2864978019.75,0,6844
All_Assistance_PrimeTransactions_2021-03-15_H16M18S17_1.csv,assist,2021-03-15T16:24:17Z,2021-03-07,2021-03-14,2021-03-07,2021-03-12,7905,97,1190498697.76,548,2775
All_Contracts_Subawards_2021-03-15_H16M18S26_1.csv,contract-sub,2021-03-15T16:24:20Z,2021-03-07,2021-03-14,2021-03-08,2021-03-12,43,106,8386029.33,0,0
All_Assistance_Subawards_2021-03-15_H16M18S28_1.csv,assist-sub,2021-03-15T16:24:22Z,2021-03-07,2021-03-14,2021-03-07,2021-03-15,364,101,177441063.94,0,0
All_Contracts_PrimeTransactions_2021-03-15_H16M17S57_1.csv,contract,2021-03-15T16:26:28Z,2021-03-07,2021-03-14,2021-03-07,2021-03-13,29166,285,2864978019.75,0,6844
All_Assistance_PrimeTransactions_2021-03-15_H16M18S17_1.csv,assist,2021-03-15T16:26:33Z,2021-03-07,2021-03-14,2021-03-07,2021-03-12,7905,97,1190498697.76,548,2775
All_Contracts_Subawards_2021-03-15_H16M18S26_1.csv,contract-sub,2021-03-15T16:26:36Z,2021-03-07,2021-03-14,2021-03-08,2021-03-12,43,106,8386029.33,0,0
All_Assistance_Subawards_2021-03-15_H16M18S28_1.csv,assist-sub,2021-03-15T16:26:38Z,2021-03-07,2021-03-14,2021-03-07,2021-03-15,364,101,177441063.94,0,0
All_Contracts_PrimeTransactions_2021-03-15_H16M17S57_1.csv,contract,2021-03-15T17:32:14Z,2021-03-07,2021-03-14,2021-03-07,2021-03-13,29166,285,2864978019.75,0,6844
All_Assistance_PrimeTransactions_2021-03-15_H16M18S17_1.csv,assist,2021-03-15T17:32:19Z,2021-03-07,2021-03-14,2021-03-07,2021-03-12,7905,97,1190498697.76,548,2775
All_Contracts_Subawards_2021-03-15_H16M18S26_1.csv,contract-sub,2021-03-15T17:32:22Z,2021-03-07,2021-03-14,2021-03-08,2021-03-12,43,106,8386029.33,0,0
All_Assistance_Subawards_2021-03-15_H16M18S28_1.csv,assist-sub,2021-03-15T17:32:24Z,2021-03-07,2021-03-14,2021-03-07,2021-03-15,364,101,177441063.94,0,0
All_Contracts_PrimeTransactions_2021-03-15_H17M33S00_1.csv,contract,2021-03-15T18:19:28Z,2021-01-01,2021-01-10,2021-01-01,2021-03-13,384632,285,49746764404.89,8,85062
All_Assistance_PrimeTransactions_2021-03-15_H17M54S07_1.csv,assist,2021-03-15T18:20:32Z,2021-01-01,2021-01-10,2021-02-10,2021-03-12,1000000,97,43616669883.2,845291,39586
All_Assistance_PrimeTransactions_2021-03-15_H17M54S07_2.csv,assist,2021-03-15T18:21:41Z,2021-01-01,2021-01-10,2021-01-28,2021-02-10,1000000,97,211379013278.81,836935,32019
All_Assistance_PrimeTransactions_2021-03-15_H17M54S07_3.csv,assist,2021-03-15T18:22:44Z,2021-01-01,2021-01-10,2021-01-04,2021-01-28,1000000,97,176951511540.2,692624,171454
All_Assistance_PrimeTransactions_2021-03-15_H17M54S07_4.csv,assist,2021-03-15T18:23:32Z,2021-01-01,2021-01-10,2021-01-01,2021-01-04,3170,97,175736358099.03,566,1057
All_Contracts_Subawards_2021-03-15_H18M17S37_1.csv,contract-sub,2021-03-15T18:23:34Z,2021-01-01,2021-01-10,2021-01-01,2021-03-12,12416,106,36298195788,2,152
All_Assistance_Subawards_2021-03-15_H18M18S04_1.csv,assist-sub,2021-03-15T18:23:38Z,2021-01-01,2021-01-10,2021-01-01,2021-03-15,25815,101,7883390371.63,6,593
