original_city,original_state,original_zip,check_city_flag,guess
MILWAUKIE,OR,97222,FALSE,PORTLAND
OAKLANDON,IN,46236,TRUE,LAWRENCE
MILWAUKIE,OR,97267,FALSE,PORTLAND
MCCARRAN,NV,89434,TRUE,MCCARRAN
OAKLANDON,IN,46235,TRUE,LAWRENCE
COBURG,OR,97408,TRUE,COBURG
WANAMAKER,IN,46239,TRUE,WANAMAKER
HATO REY,PR,00919,TRUE,HATO REY CENTRAL
NEW CHICAGO,IN,46342,TRUE,NEW CHICAGO
WOOD VILLAGE,OR,97060,TRUE,WOOD VILLAGE
POWDERSVILLE,SC,29673,TRUE,POWDERSVILLE
GLEN RAVEN,NC,27215,TRUE,GLEN RAVEN
SHANNON PLAZA,NC,27707,TRUE,DURHAM
SUNRIVER,OR,97707,TRUE,SUNRIVER
BILTMORE FOREST,NC,28803,TRUE,BILTMORE FOREST
COLMA,CA,94014,TRUE,COLMA
PAXVILLE,SC,29102,TRUE,PAXVILLE
RIO PIEDRAS,PR,00921,FALSE,SAN JUAN
RIO PIEDRAS,PR,00926,FALSE,RÍO PIEDRAS
ROBINS A F B,GA,31098,FALSE,ROBINS AIR FORCE BASE
VAN BUREN TOWNSHIP,MI,48111,FALSE,BELLEVILLE
WESLEYAN COLLEGE,NC,27804,TRUE,NORTH CAROLINA WESLEYAN COLLEGE
DFW AIRPORT,TX,75261,FALSE,DFW AIRPORT
ENO VALLEY,NC,27712,TRUE,DURHAM
FARMINGTON HILLS,MI,48334,TRUE,FARMINGTON HILLS
FARMINGTON HILLS,MI,48336,TRUE,FARMINGTON HILLS
FORT DIX,NJ,08640,TRUE,FORT DIX
HATO REY,PR,00917,FALSE,SAN JUAN
LAKE SUCCESS,NY,11020,FALSE,GREAT NECK
OCEAN DRIVE,SC,29582,FALSE,NORTH MYRTLE BEACH
PLEASURE RIDGE PARK,KY,40258,FALSE,PLEASURE RDGE
SANTURCE,PR,00907,FALSE,SAN JUAN
SANTURCE,PR,00909,FALSE,SAN JUAN
SHELBY TOWNSHIP,MI,48316,FALSE,UTICA
SUN VILLAGE,CA,93543,TRUE,SUN VILLAGE
